id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me04-001,Weedle,001,Common,,2026-07-12T18:05:09.094Z,EUR,886393,0.05,0.02,0.04,0.03,0.04,0.04,0.11,0.02,0.07,0.04,0.08,0.11,2026-07-12T18:05:07.281Z,USD,693561.0,0.01,0.25,1.99,0.23,0.5,693561.0,0.01,0.17,5.0,0.13,,,,,,,
me04-002,Kakuna,002,Common,,2026-07-12T18:05:09.094Z,EUR,886394,0.06,0.02,0.04,0.05,0.04,0.05,0.12,0.02,0.09,0.16,0.11,0.13,2026-07-12T18:05:07.281Z,USD,693502.0,0.04,0.3,1.99,0.3,1.08,693502.0,0.01,0.16,2.99,0.13,,,,,,,
me04-003,Beedrill ex,003,Double rare,,2026-07-12T18:05:09.094Z,EUR,886395,1.17,0.05,0.76,0.71,0.82,1.08,,,0.0,,,,2026-07-12T18:05:07.281Z,USD,,,,,,,,,,,,,693453.0,0.1,1.0,4321.0,0.65,
me04-004,Carnivine,004,Common,,2026-07-12T18:05:09.094Z,EUR,886396,0.03,0.02,0.03,0.03,0.03,0.03,0.06,0.02,0.07,0.16,0.08,0.06,2026-07-12T18:05:07.281Z,USD,693459.0,0.01,0.19,1.53,0.16,0.08,693459.0,0.01,0.14,1.6,0.08,0.01,,,,,,
me04-005,Chespin,005,Common,,2026-07-12T18:05:09.094Z,EUR,886397,0.03,0.02,0.02,0.02,0.02,0.03,0.07,0.02,0.07,0.08,0.07,0.07,2026-07-12T18:05:07.281Z,USD,693461.0,0.01,0.2,2.99,0.15,0.1,693461.0,0.01,0.14,1.6,0.09,0.01,,,,,,
me04-006,Quilladin,006,Common,,2026-07-12T18:05:09.094Z,EUR,886398,0.03,0.02,0.02,0.03,0.02,0.03,0.08,0.02,0.09,0.07,0.08,0.09,2026-07-12T18:05:07.281Z,USD,693537.0,0.02,0.25,4.99,0.21,0.21,693537.0,0.01,0.16,2.99,0.13,0.03,,,,,,
me04-007,Chesnaught,007,Rare,,2026-07-12T18:05:09.094Z,EUR,886399,0.05,0.02,0.05,0.07,0.05,0.05,0.09,0.02,0.09,0.1,0.1,0.09,2026-07-12T18:05:07.281Z,USD,693460.0,0.02,0.25,2.0,0.23,0.23,,,,,,,693460.0,0.01,0.2,2.99,0.2,0.1
me04-008,Vulpix,008,Common,,2026-07-12T18:05:09.094Z,EUR,886400,0.03,0.02,0.02,0.03,0.03,0.03,0.09,0.02,0.09,0.08,0.1,0.09,2026-07-12T18:05:07.281Z,USD,693558.0,0.01,0.23,1.94,0.19,0.19,693558.0,0.01,0.15,21.0,0.13,0.03,,,,,,
me04-009,Ninetales,009,Uncommon,,2026-07-12T18:05:09.094Z,EUR,886401,0.03,0.02,0.02,0.02,0.02,0.03,0.09,0.02,0.11,0.09,0.12,0.09,2026-07-12T18:05:07.281Z,USD,693526.0,0.03,0.25,2.49,0.22,0.4,693526.0,0.01,0.15,2.0,0.17,0.01,,,,,,
me04-010,Ho-Oh,010,Rare,,2026-07-12T18:05:09.094Z,EUR,886402,0.05,0.02,0.06,0.09,0.07,0.05,0.1,0.02,0.13,0.26,0.16,0.11,2026-07-12T18:05:07.281Z,USD,693500.0,0.01,0.25,2.99,0.23,0.22,,,,,,,693500.0,0.01,0.2,2.99,0.14,0.07
me04-011,Fennekin,011,Common,,2026-07-12T18:05:09.094Z,EUR,886403,0.03,0.02,0.03,0.02,0.03,0.03,0.08,0.02,0.07,0.04,0.06,0.08,2026-07-12T18:05:07.281Z,USD,693484.0,0.01,0.22,2.99,0.19,0.11,693484.0,0.01,0.15,1.6,0.08,0.05,,,,,,
me04-012,Braixen,012,Common,,2026-07-12T18:05:09.094Z,EUR,886404,0.03,0.02,0.03,0.03,0.03,0.03,0.1,0.02,0.08,0.06,0.07,0.1,2026-07-12T18:05:07.281Z,USD,693457.0,0.03,0.23,3.0,0.21,0.22,693457.0,0.01,0.15,2.99,0.07,0.04,,,,,,
me04-013,Delphox,013,Rare,,2026-07-12T18:05:09.094Z,EUR,888552,1.46,0.5,1.49,1.0,1.16,1.31,,,0.0,,,,2026-07-12T18:05:07.281Z,USD,693473.0,0.01,0.25,3.31,0.17,0.22,,,,,,,693473.0,0.01,0.2,3.49,0.14,0.1
me04-014,Litleo,014,Common,,2026-07-12T18:05:09.094Z,EUR,886406,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.02,0.05,0.05,0.05,0.06,2026-07-12T18:05:07.281Z,USD,693505.0,0.01,0.19,25.0,0.15,0.07,693505.0,0.01,0.14,1.6,0.1,0.01,,,,,,
me04-015,Mega Pyroar ex,015,Double rare,,2026-07-12T18:05:09.094Z,EUR,886407,0.46,0.07,0.42,0.35,0.38,0.44,,,0.0,,,,2026-07-12T18:05:07.281Z,USD,,,,,,,,,,,,,693519.0,0.04,0.7,4321.0,0.59,
me04-016,Remoraid,016,Common,,2026-07-12T18:05:09.094Z,EUR,886408,0.03,0.02,0.03,0.02,0.03,0.02,0.06,0.02,0.06,0.07,0.07,0.06,2026-07-12T18:05:07.281Z,USD,693539.0,0.01,0.2,1.99,0.17,0.1,693539.0,0.01,0.15,2.99,0.11,0.02,,,,,,
me04-017,Octillery,017,Common,,2026-07-12T18:05:09.094Z,EUR,886409,0.03,0.02,0.02,0.02,0.02,0.03,0.08,0.02,0.08,0.11,0.09,0.08,2026-07-12T18:05:07.281Z,USD,693528.0,0.01,0.23,2.99,0.18,0.19,693528.0,0.01,0.15,2.99,0.08,0.02,,,,,,
me04-018,Delibird,018,Uncommon,,2026-07-12T18:05:09.094Z,EUR,886410,0.03,0.02,0.02,0.02,0.02,0.02,0.08,0.02,0.07,0.07,0.09,0.08,2026-07-12T18:05:07.281Z,USD,693472.0,0.02,0.23,11.0,0.19,0.19,693472.0,0.01,0.12,1.61,0.05,0.01,,,,,,
me04-019,Keldeo,019,Rare,,2026-07-12T18:05:09.094Z,EUR,886411,0.05,0.02,0.05,0.03,0.05,0.05,0.09,0.02,0.1,0.13,0.1,0.09,2026-07-12T18:05:07.281Z,USD,693503.0,0.01,0.25,3.5,0.24,0.2,,,,,,,693503.0,0.01,0.16,10.0,0.12,0.06
