id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me04-018,Delibird,018,Uncommon,,2026-07-29T08:03:04.597Z,EUR,886410,0.02,0.02,0.03,0.03,0.02,0.02,0.08,0.02,0.07,0.03,0.07,0.08,2026-07-29T08:03:04.968Z,USD,693472.0,0.01,0.22,25.22,0.19,0.18,693472.0,0.01,0.12,6.99,0.05,0.01,,,,,,
me04-019,Keldeo,019,Rare,,2026-07-29T08:03:04.597Z,EUR,886411,0.05,0.02,0.05,0.02,0.05,0.04,0.1,0.02,0.09,0.06,0.09,0.09,2026-07-29T08:03:04.968Z,USD,693503.0,0.01,0.25,25.26,0.19,0.22,,,,,,,693503.0,0.01,0.15,75.1,0.08,0.01
me04-020,Froakie,020,Common,,2026-07-29T08:03:04.597Z,EUR,886412,0.05,0.02,0.03,0.03,0.04,0.04,0.1,0.02,0.09,0.17,0.08,0.1,2026-07-29T08:03:04.968Z,USD,693488.0,0.01,0.25,25.19,0.23,0.15,693488.0,0.01,0.16,2.99,0.11,0.08,,,,,,
me04-021,Frogadier,021,Common,,2026-07-29T08:03:04.597Z,EUR,886413,0.06,0.02,0.03,0.02,0.04,0.05,0.12,0.02,0.1,0.12,0.09,0.11,2026-07-29T08:03:04.968Z,USD,693490.0,0.02,0.3,25.43,0.26,0.35,693490.0,0.01,0.17,12.0,0.11,0.05,,,,,,
me04-022,Mega Greninja ex,022,Double rare,,2026-07-29T08:03:04.597Z,EUR,886414,1.67,0.55,1.3,1.21,1.41,1.55,,,0.0,,,,2026-07-29T08:03:04.968Z,USD,,,,,,,,,,,,,693515.0,0.48,1.37,90.0,1.14,1.1
me04-023,Bergmite,023,Common,,2026-07-29T08:03:04.597Z,EUR,886415,0.02,0.02,0.03,0.02,0.03,0.03,0.07,0.02,0.06,0.05,0.06,0.06,2026-07-29T08:03:04.968Z,USD,693456.0,0.01,0.2,25.17,0.21,0.1,693456.0,0.01,0.15,6.99,0.06,0.01,,,,,,
me04-024,Avalugg,024,Uncommon,,2026-07-29T08:03:04.597Z,EUR,886416,0.03,0.02,0.02,0.03,0.03,0.03,0.09,0.02,0.08,0.07,0.08,0.08,2026-07-29T08:03:04.968Z,USD,693448.0,0.01,0.22,25.23,0.16,0.19,693448.0,0.01,0.15,6.99,0.07,0.01,,,,,,
me04-025,Wimpod,025,Common,,2026-07-29T08:03:04.597Z,EUR,886417,0.05,0.02,0.02,0.04,0.02,0.04,0.06,0.02,0.05,0.04,0.06,0.06,2026-07-29T08:03:04.968Z,USD,693562.0,0.01,0.2,25.17,0.18,0.05,693562.0,0.01,0.14,6.99,0.04,0.01,,,,,,
me04-026,Golisopod,026,Uncommon,,2026-07-29T08:03:04.597Z,EUR,886418,0.02,0.02,0.03,0.04,0.03,0.02,0.09,0.02,0.08,0.02,0.07,0.08,2026-07-29T08:03:04.968Z,USD,693494.0,0.01,0.23,25.24,0.2,0.19,693494.0,0.01,0.15,6.99,0.05,0.01,,,,,,
me04-027,Mareep,027,Common,,2026-07-29T08:03:05.570Z,EUR,886419,0.03,0.02,0.02,0.04,0.03,0.03,0.08,0.02,0.06,0.03,0.07,0.08,2026-07-29T08:03:04.968Z,USD,693507.0,0.01,0.21,25.19,0.21,0.05,693507.0,0.01,0.15,6.99,0.08,0.01,,,,,,
me04-028,Flaaffy,028,Common,,2026-07-29T08:03:05.570Z,EUR,886420,0.03,0.02,0.03,0.04,0.03,0.03,0.08,0.02,0.08,0.08,0.08,0.08,2026-07-29T08:03:04.968Z,USD,693487.0,0.01,0.24,25.23,0.23,0.15,693487.0,0.01,0.15,6.99,0.08,0.01,,,,,,
me04-029,Ampharos,029,Rare,,2026-07-29T08:03:05.570Z,EUR,888542,1.36,0.44,1.44,1.05,1.22,1.37,,,0.0,,,,2026-07-29T08:03:04.968Z,USD,693445.0,0.01,0.25,25.3,0.24,0.25,,,,,,,693445.0,0.01,0.2,75.19,0.13,0.12
me04-030,Emolga,030,Common,,2026-07-29T08:03:05.570Z,EUR,886422,0.02,0.02,0.02,0.03,0.02,0.02,0.09,0.02,0.09,0.14,0.09,0.09,2026-07-29T08:03:04.968Z,USD,693481.0,0.01,0.22,25.25,0.2,0.2,693481.0,0.01,0.15,6.99,0.04,0.01,,,,,,
me04-031,Deoxys,031,Uncommon,,2026-07-29T08:03:05.570Z,EUR,886423,0.03,0.02,0.03,0.03,0.02,0.03,0.09,0.02,0.1,0.07,0.1,0.1,2026-07-29T08:03:04.968Z,USD,693474.0,0.02,0.28,25.39,0.29,0.36,693474.0,0.01,0.15,6.99,0.1,0.01,,,,,,
me04-032,Deoxys,032,Uncommon,,2026-07-29T08:03:05.570Z,EUR,886424,0.03,0.02,0.03,0.03,0.03,0.03,0.1,0.02,0.1,0.06,0.11,0.1,2026-07-29T08:03:04.968Z,USD,693475.0,0.01,0.25,25.23,0.22,0.36,693475.0,0.01,0.15,6.99,0.08,0.01,,,,,,
