id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me04-001,Weedle,001,Common,,2026-08-05T08:03:05.076Z,EUR,886393,0.04,0.02,0.05,0.03,0.05,0.04,0.09,0.02,0.09,0.08,0.11,0.09,2026-08-05T08:04:34.506Z,USD,693561.0,0.01,0.25,20.0,0.27,0.21,693561.0,0.01,0.15,5.0,0.08,0.05,,,,,,
me04-002,Kakuna,002,Common,,2026-08-05T08:03:05.076Z,EUR,886394,0.05,0.02,0.04,0.02,0.05,0.04,0.1,0.02,0.11,0.14,0.12,0.1,2026-08-05T08:04:34.506Z,USD,693502.0,0.01,0.25,6.99,0.24,0.25,693502.0,0.01,0.15,12.0,0.14,0.08,,,,,,
me04-003,Beedrill ex,003,Double rare,,2026-08-05T08:03:05.076Z,EUR,886395,0.88,0.15,0.69,0.6,0.7,0.76,,,0.0,,,,2026-08-05T08:04:34.506Z,USD,,,,,,,,,,,,,693453.0,0.01,0.84,1000.0,0.63,0.63
me04-004,Carnivine,004,Common,,2026-08-05T08:03:05.076Z,EUR,886396,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.02,0.06,0.08,0.06,0.07,2026-08-05T08:04:34.506Z,USD,693459.0,0.01,0.21,6.99,0.21,0.13,693459.0,0.01,0.13,6.99,0.04,0.01,,,,,,
me04-005,Chespin,005,Common,,2026-08-05T08:03:05.076Z,EUR,886397,0.02,0.02,0.03,0.05,0.03,0.02,0.07,0.02,0.06,0.1,0.07,0.07,2026-08-05T08:04:34.506Z,USD,693461.0,0.01,0.24,6.99,0.26,0.15,693461.0,0.01,0.14,8.0,0.05,0.01,,,,,,
me04-006,Quilladin,006,Common,,2026-08-05T08:03:05.076Z,EUR,886398,0.03,0.02,0.03,0.02,0.04,0.03,0.09,0.02,0.09,0.09,0.09,0.09,2026-08-05T08:04:34.506Z,USD,693537.0,0.01,0.25,6.99,0.26,0.21,693537.0,0.01,0.15,6.99,0.1,0.01,,,,,,
me04-007,Chesnaught,007,Rare,,2026-08-05T08:03:05.076Z,EUR,886399,0.05,0.02,0.05,0.04,0.05,0.05,0.11,0.02,0.13,0.09,0.12,0.11,2026-08-05T08:04:34.506Z,USD,693460.0,0.01,0.25,6.99,0.23,0.2,,,,,,,693460.0,0.01,0.2,25.0,0.15,0.1
me04-008,Vulpix,008,Common,,2026-08-05T08:03:05.076Z,EUR,886400,0.03,0.02,0.04,0.05,0.04,0.03,0.09,0.02,0.1,0.12,0.1,0.1,2026-08-05T08:04:34.506Z,USD,693558.0,0.01,0.26,6.99,0.29,0.22,693558.0,0.01,0.15,21.0,0.12,0.01,,,,,,
me04-009,Ninetales,009,Uncommon,,2026-08-05T08:03:05.076Z,EUR,886401,0.03,0.02,0.04,0.03,0.03,0.03,0.09,0.02,0.11,0.13,0.11,0.1,2026-08-05T08:04:34.506Z,USD,693526.0,0.03,0.25,6.99,0.24,0.22,693526.0,0.01,0.15,2.0,0.09,0.01,,,,,,
me04-010,Ho-Oh,010,Rare,,2026-08-05T08:03:05.076Z,EUR,886402,0.05,0.02,0.05,0.03,0.06,0.06,0.11,0.02,0.09,0.13,0.11,0.12,2026-08-05T08:04:34.506Z,USD,693500.0,0.01,0.25,6.99,0.26,0.17,,,,,,,693500.0,0.01,0.2,45.0,0.2,0.11
me04-011,Fennekin,011,Common,,2026-08-05T08:03:05.076Z,EUR,886403,0.03,0.02,0.05,0.03,0.05,0.03,0.08,0.02,0.11,0.12,0.1,0.07,2026-08-05T08:04:34.506Z,USD,693484.0,0.01,0.24,6.99,0.23,0.07,693484.0,0.01,0.15,6.99,0.09,0.05,,,,,,
me04-012,Braixen,012,Common,,2026-08-05T08:03:05.076Z,EUR,886404,0.03,0.02,0.04,0.03,0.05,0.04,0.09,0.02,0.1,0.09,0.09,0.08,2026-08-05T08:04:34.506Z,USD,693457.0,0.01,0.24,6.99,0.23,0.22,693457.0,0.01,0.15,6.99,0.1,0.04,,,,,,
me04-013,Delphox,013,Rare,,2026-08-05T08:03:04.511Z,EUR,888552,1.62,0.5,1.7,2.0,1.58,1.59,,,0.0,,,,2026-08-05T08:04:34.506Z,USD,693473.0,0.01,0.26,10.0,0.26,0.26,,,,,,,693473.0,0.01,0.2,15.0,0.17,0.15
me04-014,Litleo,014,Common,,2026-08-05T08:03:05.076Z,EUR,886406,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.02,0.08,0.07,0.08,0.06,2026-08-05T08:04:34.506Z,USD,693505.0,0.01,0.2,6.99,0.2,0.1,693505.0,0.01,0.14,6.99,0.06,0.01,,,,,,
me04-015,Mega Pyroar ex,015,Double rare,,2026-08-05T08:03:05.076Z,EUR,886407,0.43,0.05,0.4,0.32,0.39,0.41,,,0.0,,,,2026-08-05T08:04:34.506Z,USD,,,,,,,,,,,,,693519.0,0.04,0.69,1000.0,0.58,0.98
me04-016,Remoraid,016,Common,,2026-08-05T08:03:05.076Z,EUR,886408,0.02,0.02,0.03,0.03,0.03,0.03,0.07,0.02,0.06,0.12,0.07,0.06,2026-08-05T08:04:34.506Z,USD,693539.0,0.01,0.22,6.99,0.22,0.13,693539.0,0.01,0.15,6.99,0.09,0.01,,,,,,
me04-017,Octillery,017,Common,,2026-08-05T08:03:05.076Z,EUR,886409,0.02,0.02,0.03,0.02,0.03,0.03,0.08,0.02,0.1,0.09,0.1,0.09,2026-08-05T08:04:34.506Z,USD,693528.0,0.01,0.24,6.99,0.23,0.15,693528.0,0.01,0.15,6.99,0.07,0.01,,,,,,
me04-018,Delibird,018,Uncommon,,2026-08-05T08:03:04.511Z,EUR,886410,0.02,0.02,0.03,0.02,0.03,0.02,0.08,0.02,0.09,0.09,0.1,0.08,2026-08-05T08:04:34.506Z,USD,693472.0,0.01,0.24,11.0,0.21,0.21,693472.0,0.01,0.12,6.99,0.07,0.01,,,,,,
me04-019,Keldeo,019,Rare,,2026-08-05T08:03:05.076Z,EUR,886411,0.05,0.02,0.04,0.03,0.04,0.04,0.1,0.02,0.1,0.09,0.11,0.1,2026-08-05T08:04:34.506Z,USD,693503.0,0.01,0.25,6.99,0.25,0.25,,,,,,,693503.0,0.01,0.18,10.0,0.16,0.01
me04-020,Froakie,020,Common,,2026-08-05T08:03:05.076Z,EUR,886412,0.05,0.02,0.04,0.05,0.04,0.04,0.1,0.02,0.08,0.06,0.08,0.09,2026-08-05T08:04:34.506Z,USD,693488.0,0.01,0.26,6.99,0.25,0.2,693488.0,0.01,0.15,2.99,0.09,0.09,,,,,,
me04-021,Frogadier,021,Common,,2026-08-05T08:03:05.076Z,EUR,886413,0.06,0.02,0.03,0.05,0.04,0.05,0.12,0.02,0.13,0.13,0.14,0.12,2026-08-05T08:04:34.506Z,USD,693490.0,0.02,0.29,6.99,0.27,0.24,693490.0,0.01,0.19,12.0,0.16,0.01,,,,,,
me04-022,Mega Greninja ex,022,Double rare,,2026-08-05T08:03:05.579Z,EUR,886414,1.67,0.69,1.25,1.12,1.28,1.43,,,0.0,,,,2026-08-05T08:04:34.506Z,USD,,,,,,,,,,,,,693515.0,0.32,1.25,90.0,0.99,0.96
me04-023,Bergmite,023,Common,,2026-08-05T08:03:05.076Z,EUR,886415,0.02,0.02,0.03,0.02,0.03,0.03,0.07,0.02,0.06,0.09,0.07,0.07,2026-08-05T08:04:34.506Z,USD,693456.0,0.01,0.21,6.99,0.21,0.13,693456.0,0.01,0.15,6.99,0.08,0.01,,,,,,
me04-024,Avalugg,024,Uncommon,,2026-08-05T08:03:04.505Z,EUR,886416,0.03,0.02,0.03,0.02,0.03,0.03,0.09,0.02,0.08,0.08,0.1,0.09,2026-08-05T08:04:34.506Z,USD,693448.0,0.01,0.22,6.99,0.2,0.19,693448.0,0.01,0.15,6.99,0.1,0.01,,,,,,
me04-025,Wimpod,025,Common,,2026-08-05T08:03:04.506Z,EUR,886417,0.05,0.02,0.04,0.02,0.03,0.02,0.06,0.02,0.08,0.09,0.09,0.07,2026-08-05T08:04:34.506Z,USD,693562.0,0.01,0.2,6.99,0.19,0.1,693562.0,0.01,0.14,6.99,0.07,0.01,,,,,,
me04-026,Golisopod,026,Uncommon,,2026-08-05T08:03:05.076Z,EUR,886418,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.02,0.09,0.11,0.08,0.08,2026-08-05T08:04:34.506Z,USD,693494.0,0.01,0.25,6.99,0.3,0.21,693494.0,0.01,0.15,6.99,0.07,0.01,,,,,,
