id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me05-018,Popplio,018,Common,,2026-07-26T08:03:04.571Z,EUR,895806,0.03,0.02,0.04,0.04,0.03,0.03,0.11,0.02,0.05,0.1,0.09,0.1,2026-07-26T08:03:42.224Z,USD,704775.0,0.01,0.15,1.65,0.07,0.04,704775.0,0.01,0.19,4.0,0.15,0.1,,,,,,
me05-019,Brionne,019,Common,,2026-07-26T08:03:04.571Z,EUR,895807,0.03,0.02,0.04,0.04,0.03,0.03,0.11,0.02,0.06,0.09,0.1,0.11,2026-07-26T08:03:42.224Z,USD,704776.0,0.01,0.15,1.95,0.09,0.05,704776.0,0.01,0.2,1.65,0.16,0.12,,,,,,
me05-020,Primarina,020,Rare,,2026-07-26T08:03:04.532Z,EUR,895808,0.08,0.02,0.02,0.05,0.08,0.09,0.28,0.02,0.15,0.26,0.19,0.2,2026-07-26T08:03:42.224Z,USD,,,,,,,704777.0,0.05,0.24,3.99,0.23,0.24,704777.0,0.01,0.18,3.98,0.15,0.07
me05-021,Finizen,021,Common,,2026-07-26T08:03:04.571Z,EUR,895809,0.03,0.02,0.03,0.03,0.03,0.03,0.1,0.02,0.07,0.1,0.09,0.1,2026-07-26T08:03:42.224Z,USD,704778.0,0.01,0.14,1.65,0.06,0.03,704778.0,0.02,0.2,2.99,0.19,0.15,,,,,,
me05-022,Palafin,022,Uncommon,,2026-07-26T08:03:04.532Z,EUR,895810,0.03,0.02,0.02,0.02,0.02,0.03,0.08,0.02,0.09,0.11,0.07,0.09,2026-07-26T08:03:42.224Z,USD,704779.0,0.01,0.15,1.65,0.04,0.04,704779.0,0.01,0.18,3.99,0.1,0.08,,,,,,
me05-023,Electrike,023,Common,,2026-07-26T08:03:04.571Z,EUR,895811,0.04,0.02,0.04,0.03,0.04,0.04,0.1,0.02,0.07,0.1,0.08,0.09,2026-07-26T08:03:42.224Z,USD,704780.0,0.01,0.15,1.65,0.07,0.07,704780.0,0.02,0.2,1.66,0.17,0.12,,,,,,
me05-024,Manectric,024,Uncommon,,2026-07-26T08:03:04.532Z,EUR,895812,0.04,0.02,0.02,0.03,0.03,0.04,0.13,0.02,0.05,0.11,0.11,0.13,2026-07-26T08:03:42.224Z,USD,704781.0,0.01,0.15,1.65,0.08,0.05,704781.0,0.04,0.2,1.68,0.16,0.15,,,,,,
me05-025,Charjabug,025,Common,,2026-07-26T08:03:04.532Z,EUR,895813,0.03,0.02,0.02,0.02,0.03,0.03,0.09,0.02,0.07,0.1,0.07,0.09,2026-07-26T08:03:42.224Z,USD,704782.0,0.01,0.15,1.65,0.07,0.04,704782.0,0.01,0.18,1.53,0.16,0.1,,,,,,
me05-026,Vikavolt,026,Uncommon,,2026-07-26T08:03:04.532Z,EUR,895814,0.03,0.02,0.02,0.03,0.03,0.04,0.11,0.02,0.08,0.14,0.09,0.11,2026-07-26T08:03:42.224Z,USD,704783.0,0.01,0.15,1.65,0.06,0.05,704783.0,0.01,0.16,4.0,0.14,0.07,,,,,,
me05-027,Mega Zeraora ex,027,Double rare,,2026-07-26T08:03:04.532Z,EUR,895787,0.95,0.2,0.11,0.57,0.74,0.92,,,0.0,,,,2026-07-26T08:03:42.224Z,USD,,,,,,,,,,,,,704784.0,0.25,0.94,45.0,0.73,4.41
me05-028,Miraidon,028,Rare,,2026-07-26T08:03:04.532Z,EUR,895815,0.08,0.02,0.02,0.08,0.07,0.08,0.18,0.02,0.02,0.14,0.16,0.18,2026-07-26T08:03:42.224Z,USD,,,,,,,704785.0,0.08,0.24,1.61,0.24,0.21,704785.0,0.01,0.15,1.62,0.13,0.09
me05-029,Slowpoke,029,Common,,2026-07-26T08:03:04.532Z,EUR,895816,0.05,0.02,0.02,0.03,0.04,0.05,0.21,0.02,0.09,0.12,0.16,0.19,2026-07-26T08:03:42.224Z,USD,704786.0,0.01,0.15,25.0,0.11,0.07,704786.0,0.01,0.24,2.0,0.21,1.0,,,,,,
me05-030,Slowbro,030,Uncommon,,2026-07-26T08:03:04.532Z,EUR,895817,0.04,0.02,0.02,0.03,0.03,0.04,0.19,0.02,0.12,0.12,0.16,0.18,2026-07-26T08:03:42.224Z,USD,704787.0,0.01,0.15,1.65,0.13,0.05,704787.0,0.01,0.28,2.0,0.3,0.43,,,,,,
me05-031,Mega Slowbro ex,031,Double rare,,2026-07-26T08:03:04.438Z,EUR,895818,0.88,0.2,0.38,0.61,0.77,0.86,,,0.0,,,,2026-07-26T08:03:42.224Z,USD,,,,,,,,,,,,,704788.0,0.22,0.83,19.99,0.69,2.5
me05-032,Jynx,032,Common,,2026-07-26T08:03:04.532Z,EUR,895819,0.04,0.02,0.02,0.03,0.03,0.04,0.13,0.02,0.05,0.08,0.1,0.12,2026-07-26T08:03:42.224Z,USD,704789.0,0.01,0.15,1.65,0.06,0.05,704789.0,0.01,0.19,2.99,0.18,0.12,,,,,,
me05-033,Shuppet,033,Common,,2026-07-26T08:03:04.571Z,EUR,895820,0.1,0.02,0.06,0.07,0.08,0.09,0.22,0.02,0.04,0.22,0.17,0.2,2026-07-26T08:03:42.224Z,USD,704790.0,0.01,0.2,2.2,0.15,,704790.0,0.02,0.32,4.99,0.3,0.45,,,,,,
me05-034,Banette,034,Uncommon,,2026-07-26T08:03:04.532Z,EUR,895821,0.1,0.02,0.02,0.05,0.07,0.09,0.22,0.02,0.13,0.29,0.22,0.23,2026-07-26T08:03:42.224Z,USD,704791.0,0.01,0.18,2.2,0.21,0.07,704791.0,0.1,0.39,3.22,0.48,2.09,,,,,,
me05-035,Spiritomb,035,Rare,,2026-07-26T08:03:04.438Z,EUR,895822,0.17,0.02,0.02,0.12,0.13,0.16,0.32,0.02,0.02,0.25,0.22,0.29,2026-07-26T08:03:42.224Z,USD,,,,,,,704792.0,0.08,0.39,4.99,0.43,1.46,704792.0,0.02,0.2,2.11,0.16,0.1
me05-036,Litwick,036,Common,,2026-07-26T08:03:04.571Z,EUR,895823,0.05,0.02,0.04,0.06,0.05,0.05,0.13,0.02,0.09,0.11,0.11,0.12,2026-07-26T08:03:42.224Z,USD,704793.0,0.01,0.16,1.65,0.1,0.05,704793.0,0.01,0.24,1.96,0.22,0.15,,,,,,
me05-037,Lampent,037,Uncommon,,2026-07-26T08:03:04.571Z,EUR,895824,0.05,0.02,0.02,0.04,0.04,0.04,0.14,0.02,0.11,0.11,0.12,0.13,2026-07-26T08:03:42.224Z,USD,704794.0,0.01,0.15,1.95,0.11,0.05,704794.0,0.01,0.24,1.65,0.18,0.15,,,,,,
me05-038,Mega Chandelure ex,038,Double rare,,2026-07-26T08:03:04.571Z,EUR,895786,0.94,0.2,0.52,0.62,0.75,0.87,,,0.0,,,,2026-07-26T08:03:42.224Z,USD,,,,,,,,,,,,,704795.0,0.34,1.04,23.0,0.75,
me05-039,Dhelmise,039,Uncommon,,2026-07-26T08:03:04.571Z,EUR,895825,0.21,0.02,0.02,0.1,0.12,0.19,0.43,0.02,0.21,0.2,0.2,0.36,2026-07-26T08:03:42.224Z,USD,704796.0,0.01,0.19,3.99,0.17,0.07,704796.0,0.02,0.3,3.99,0.28,2.0,,,,,,
me05-040,Marshadow,040,Uncommon,,2026-07-26T08:03:04.571Z,EUR,895826,0.17,0.02,0.02,0.03,0.03,0.03,,0.02,0.1,0.11,0.09,0.1,2026-07-26T08:03:42.224Z,USD,704797.0,0.01,0.15,1.65,0.08,0.05,704797.0,0.02,0.2,3.0,0.18,0.14,,,,,,
me05-041,Annihilape,041,Uncommon,,2026-07-26T08:03:04.571Z,EUR,895827,0.03,0.02,0.02,0.04,0.03,0.03,0.13,0.02,0.1,0.13,0.11,0.13,2026-07-26T08:03:42.224Z,USD,704798.0,0.01,0.15,1.95,0.08,0.02,704798.0,0.01,0.2,30.0,0.17,0.19,,,,,,
me05-042,Mankey,042,Common,,2026-07-26T08:03:04.571Z,EUR,895828,0.03,0.02,0.02,0.03,0.03,0.03,0.09,0.02,0.08,0.09,0.08,0.09,2026-07-26T08:03:42.224Z,USD,704799.0,0.01,0.15,2.2,0.1,0.05,704799.0,0.03,0.24,4.99,0.23,0.15,,,,,,
me05-043,Primeape,043,Common,,2026-07-26T08:03:04.571Z,EUR,895829,0.03,0.02,0.02,0.04,0.03,0.03,0.09,0.02,0.02,0.08,0.08,0.09,2026-07-26T08:03:42.224Z,USD,704800.0,0.01,0.15,1.65,0.06,0.05,704800.0,0.01,0.18,1.65,0.16,0.09,,,,,,
me05-044,Cranidos,044,Common,,2026-07-26T08:03:04.532Z,EUR,895830,0.04,0.02,0.03,0.04,0.04,0.04,0.13,0.02,0.11,0.13,0.12,0.13,2026-07-26T08:03:42.224Z,USD,704801.0,0.01,0.15,1.66,0.1,0.05,704801.0,0.03,0.2,1.68,0.19,0.15,,,,,,
me05-045,Rampardos ex,045,Double rare,,2026-07-26T08:03:04.732Z,EUR,895831,0.67,0.04,0.35,0.44,0.55,0.66,,,0.0,,,,2026-07-26T08:03:42.224Z,USD,,,,,,,,,,,,,704802.0,0.15,0.72,19.99,0.74,2.39
me05-046,Drilbur,046,Common,,2026-07-26T08:03:04.571Z,EUR,895832,0.07,0.02,0.05,0.06,0.06,0.07,0.21,0.02,0.18,0.17,0.17,0.21,2026-07-26T08:03:42.224Z,USD,704803.0,0.01,0.16,1.53,0.15,0.1,704803.0,0.03,0.27,2.83,0.27,0.2,,,,,,
me05-047,Koraidon,047,Rare,,2026-07-26T08:03:04.732Z,EUR,895833,0.07,0.02,0.04,0.07,0.06,0.07,0.16,0.02,0.16,0.13,0.14,0.15,2026-07-26T08:03:42.224Z,USD,,,,,,,704804.0,0.01,0.25,1.69,0.23,0.15,704804.0,0.01,0.15,1.65,0.09,0.05
me05-048,Mega Darkrai ex,048,Double rare,,2026-07-26T08:03:04.732Z,EUR,895788,1.51,0.45,0.82,1.39,1.23,1.43,,,0.0,,,,2026-07-26T08:03:42.224Z,USD,,,,,,,,,,,,,704805.0,0.59,1.39,55.0,1.02,
me05-049,Vullaby,049,Common,,2026-07-26T08:03:04.571Z,EUR,895834,0.03,0.02,0.03,0.03,0.03,0.03,0.1,0.02,0.1,0.16,0.1,0.1,2026-07-26T08:03:42.224Z,USD,704806.0,0.01,0.15,1.95,0.06,0.04,704806.0,0.01,0.18,1.52,0.18,0.1,,,,,,
me05-050,Mandibuzz,050,Common,,2026-07-26T08:03:04.732Z,EUR,895835,0.03,0.02,0.03,0.03,0.03,0.03,0.11,0.02,0.1,0.09,0.09,0.1,2026-07-26T08:03:42.224Z,USD,704807.0,0.01,0.15,1.65,0.05,0.02,704807.0,0.01,0.18,4.0,0.14,0.1,,,,,,
me05-051,Inkay,051,Common,,2026-07-26T08:03:04.532Z,EUR,895836,0.04,0.02,0.02,0.03,0.03,0.04,0.1,0.02,0.1,0.12,0.09,0.1,2026-07-26T08:03:42.224Z,USD,704808.0,0.01,0.15,1.65,0.04,0.02,704808.0,0.01,0.2,1.65,0.17,0.1,,,,,,
me05-052,Malamar,052,Uncommon,,2026-07-26T08:03:04.571Z,EUR,895837,0.03,0.02,0.04,0.03,0.03,0.03,0.11,0.02,0.1,0.07,0.1,0.1,2026-07-26T08:03:42.224Z,USD,704809.0,0.01,0.14,1.65,0.05,0.05,704809.0,0.03,0.2,1.67,0.16,0.1,,,,,,
me05-053,Nickit,053,Common,,2026-07-26T08:03:04.532Z,EUR,895838,0.03,0.02,0.03,0.02,0.03,0.03,0.11,0.02,0.06,0.16,0.1,0.11,2026-07-26T08:03:42.224Z,USD,704810.0,0.01,0.15,1.65,0.08,0.02,704810.0,0.01,0.19,4.0,0.17,0.08,,,,,,
me05-054,Thievul,054,Uncommon,,2026-07-26T08:03:04.571Z,EUR,895839,0.03,0.02,0.03,0.03,0.03,0.03,0.11,0.02,0.1,0.12,0.1,0.11,2026-07-26T08:03:42.224Z,USD,704811.0,0.01,0.13,5.0,0.05,0.02,704811.0,0.01,0.2,1.53,0.17,0.1,,,,,,
me05-055,Morpeko ex,055,Double rare,,2026-07-26T08:03:04.571Z,EUR,895840,0.56,0.04,0.32,0.55,0.47,0.53,,,0.0,,,,2026-07-26T08:03:42.224Z,USD,,,,,,,,,,,,,704812.0,0.1,0.63,19.9,0.49,1.99
me05-056,Zarude,056,Rare,,2026-07-26T08:03:04.571Z,EUR,895841,0.07,0.02,0.06,0.08,0.06,0.07,0.17,0.02,0.08,0.18,0.16,0.17,2026-07-26T08:03:42.224Z,USD,,,,,,,704813.0,0.01,0.21,1.65,0.21,0.25,704813.0,0.01,0.15,2.49,0.11,0.07
me05-057,Maschiff,057,Common,,2026-07-26T08:03:04.732Z,EUR,895842,0.09,0.02,0.02,0.03,0.03,0.03,0.2,0.02,0.06,0.09,0.09,0.1,2026-07-26T08:03:42.224Z,USD,704814.0,0.01,0.14,4.0,0.05,0.03,704814.0,0.01,0.2,1.53,0.11,0.1,,,,,,
me05-058,Mabosstiff,058,Common,,2026-07-26T08:03:04.571Z,EUR,895843,0.03,0.02,0.04,0.03,0.03,0.03,0.1,0.02,0.13,0.15,0.11,0.12,2026-07-26T08:03:42.224Z,USD,704815.0,0.01,0.14,1.65,0.05,0.03,704815.0,0.01,0.2,4.0,0.19,0.13,,,,,,
me05-059,Chi-Yu,059,Rare,,2026-07-26T08:03:04.571Z,EUR,895844,0.1,0.02,0.12,0.07,0.09,0.1,0.18,0.02,0.17,0.2,0.17,0.18,2026-07-26T08:03:42.224Z,USD,,,,,,,704816.0,0.05,0.25,1.54,0.24,0.35,704816.0,0.01,0.19,2.49,0.17,0.1
me05-060,Skarmory,060,Common,,2026-07-26T08:03:04.732Z,EUR,895845,0.03,0.02,0.04,0.07,0.03,0.03,0.09,0.02,0.04,0.07,0.08,0.09,2026-07-26T08:03:42.224Z,USD,704817.0,0.01,0.15,1.65,0.09,0.05,704817.0,0.01,0.2,2.0,0.14,0.1,,,,,,
me05-061,Shieldon,061,Common,,2026-07-26T08:03:04.732Z,EUR,895846,0.05,0.02,0.02,0.04,0.04,0.05,0.13,0.02,0.08,0.11,0.11,0.12,2026-07-26T08:03:42.224Z,USD,704818.0,0.01,0.15,1.65,0.09,0.07,704818.0,0.01,0.2,1.65,0.19,0.12,,,,,,
me05-062,Bastiodon,062,Rare,,2026-07-26T08:03:04.571Z,EUR,895847,0.19,0.02,0.09,0.11,0.14,0.2,0.28,0.02,0.02,0.2,0.2,0.26,2026-07-26T08:03:42.224Z,USD,,,,,,,704819.0,0.05,0.33,2.59,0.3,0.15,704819.0,0.01,0.2,2.48,0.13,0.12
me05-063,Bronzor,063,Common,,2026-07-26T08:03:04.571Z,EUR,895848,0.03,0.02,0.05,0.09,0.03,0.04,0.08,0.02,0.07,0.06,0.07,0.08,2026-07-26T08:03:42.224Z,USD,704820.0,0.01,0.13,1.95,0.04,0.02,704820.0,0.01,0.17,1.65,0.12,0.08,,,,,,
me05-064,Bronzong,064,Uncommon,,2026-07-26T08:03:04.571Z,EUR,895849,0.03,0.02,0.04,0.08,0.03,0.03,0.11,0.02,0.09,0.09,0.1,0.1,2026-07-26T08:03:42.224Z,USD,704821.0,0.01,0.14,1.65,0.04,0.05,704821.0,0.01,0.18,4.0,0.13,0.08,,,,,,
me05-065,Mega Excadrill ex,065,Double rare,,2026-07-26T08:03:04.571Z,EUR,895785,1.38,0.3,1.06,1.12,1.24,1.37,,,0.0,,,,2026-07-26T08:03:42.224Z,USD,,,,,,,,,,,,,704822.0,0.5,1.63,24.94,1.7,
me05-066,Pikipek,066,Common,,2026-07-26T08:03:04.571Z,EUR,895850,0.06,0.02,0.05,0.04,0.05,0.05,0.17,0.02,0.09,0.12,0.14,0.16,2026-07-26T08:03:42.224Z,USD,704823.0,0.01,0.15,1.65,0.11,0.05,704823.0,0.01,0.23,2.14,0.2,0.2,,,,,,
me05-067,Trumbeak,067,Common,,2026-07-26T08:03:04.571Z,EUR,895851,0.06,0.02,0.03,0.04,0.05,0.06,0.16,0.02,0.14,0.12,0.14,0.16,2026-07-26T08:03:42.224Z,USD,704824.0,0.01,0.15,1.95,0.11,0.05,704824.0,0.02,0.23,45.0,0.23,0.2,,,,,,
me05-068,Toucannon,068,Uncommon,,2026-07-26T08:03:04.732Z,EUR,895852,0.08,0.02,0.04,0.06,0.06,0.07,0.2,0.02,0.08,0.11,0.14,0.18,2026-07-26T08:03:42.224Z,USD,704825.0,0.01,0.16,1.65,0.13,0.07,704825.0,0.03,0.24,1.68,0.23,0.21,,,,,,
me05-069,Type: Null,069,Common,,2026-07-26T08:03:04.571Z,EUR,895853,0.03,0.02,0.04,0.05,0.03,0.03,0.12,0.02,0.06,0.12,0.1,0.11,2026-07-26T08:03:42.224Z,USD,704826.0,0.01,0.15,1.65,0.12,0.05,704826.0,0.01,0.16,100.0,0.15,0.1,,,,,,
me05-070,Silvally,070,Rare,,2026-07-26T08:03:04.532Z,EUR,895854,0.1,0.02,0.11,0.11,0.09,0.1,0.22,0.02,0.22,0.27,0.22,0.22,2026-07-26T08:03:42.224Z,USD,,,,,,,704827.0,0.05,0.25,2.49,0.25,0.35,704827.0,0.01,0.19,1.65,0.12,0.14
me05-071,Bombirdier,071,Common,,2026-07-26T08:03:04.571Z,EUR,895855,0.03,0.02,0.03,0.03,0.03,0.03,0.08,0.02,0.08,0.06,0.07,0.08,2026-07-26T08:03:42.224Z,USD,704828.0,0.01,0.15,1.65,0.03,0.02,704828.0,0.01,0.16,1.65,0.12,0.05,,,,,,
me05-072,Antique Armor Fossil,072,Common,,2026-07-26T08:03:04.571Z,EUR,895856,0.07,0.02,0.02,0.05,0.05,0.06,0.2,0.02,0.14,0.18,0.13,0.19,2026-07-26T08:03:42.224Z,USD,704829.0,0.01,0.15,1.65,0.09,0.05,704829.0,0.01,0.22,1.65,0.18,0.15,,,,,,
