id,name,localId,rarity,supertype,subtypes,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
basep-1,Pikachu,1,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fut2020-1,Pikachu on the Ball,1,None,,,Pokémon Futsal 2020,,,2026-07-28T08:03:04.286Z,EUR,506930.0,125.0,115.0,179.58,179.99,157.1,175.86,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024sv-2,Pikachu,2,None,,,McDonald's Collection 2024,,,2026-07-28T08:03:04.286Z,EUR,802824.0,1.91,0.05,0.81,2.32,1.72,1.91,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basep-4,Pikachu,4,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018sm-4,Pikachu,4,None,,,McDonald's Collection 2018,2026-07-28T08:03:22.457Z,USD,2026-07-28T08:03:04.286Z,EUR,366772.0,12.74,1.0,12.49,4.0,13.3,10.02,,,5.68,3.99,6.1,3.7,180452.0,25.49,33.4,309.8,39.21,,,,,,,,,,,,,,,,,,,,,,,,,
2017sm-5,Pikachu,5,None,,,McDonald's Collection 2017,2026-07-28T08:03:20.729Z,USD,2026-07-28T08:03:04.286Z,EUR,301847.0,12.6,1.0,15.31,21.2,13.87,11.41,,,10.21,15.45,9.59,6.48,152685.0,14.22,39.99,300.8,28.16,,,,,,,,,,,,,,,,,,,,,,,,,
2014xy-5,Pikachu,5,None,,,McDonald's Collection 2014,2026-07-28T08:03:11.830Z,USD,2026-07-28T08:03:04.286Z,EUR,281657.0,6.25,3.5,1.76,2.5,6.08,8.38,,,12.9,14.0,9.21,7.04,110410.0,39.99,179.99,700.99,35.63,,,,,,,,,,,,,,,,,,,,,,,,,
cel25-5,Pikachu,5,Holo Rare,,,Celebrations,2026-07-28T08:03:28.843Z,USD,2026-07-28T08:03:04.598Z,EUR,576750.0,5.29,2.0,4.79,4.7,5.26,5.13,,,0.0,,,,250303.0,2.29,7.47,1000.0,6.18,6.55,,,,,,,,,,,,,,,,,,,,,,,,
ex5.5-5,Pikachu,5,None,,,Poké Card Creator Pack,,,2026-07-28T08:03:04.598Z,EUR,605996.0,400.0,40000.0,400.0,400.0,400.0,400.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016xy-6,Pikachu,6,None,,,McDonald's Collection 2016,2026-07-28T08:03:18.643Z,USD,2026-07-28T08:03:04.598Z,EUR,295142.0,24.8,1.4,18.69,6.66,20.27,15.7,,,6.09,3.5,6.0,4.69,275062.0,74.99,86.24,119.98,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019sm-6,Pikachu,6,None,,,McDonald's Collection 2019,2026-07-28T08:03:23.596Z,USD,2026-07-28T08:03:04.598Z,EUR,412874.0,8.2,0.5,7.33,5.0,7.15,10.06,,,8.67,5.0,11.67,9.23,200967.0,24.0,37.59,497.69,34.1,449.99,,,,,,,,,,,,,,,,,,,,,,,,
2015xy-6,Pikachu,6,None,,,McDonald's Collection 2015,2026-07-28T08:03:16.440Z,USD,2026-07-28T08:03:04.286Z,EUR,293322.0,27.09,1.75,21.29,30.0,21.07,14.68,,,10.31,20.0,9.54,9.62,110424.0,21.5,36.01,9999.0,34.72,,,,,,,,,,,,,,,,,,,,,,,,,
2023sv-6,Pikachu,6,None,,,McDonald's Collection 2023,,,2026-07-28T08:03:04.598Z,EUR,725423.0,1.78,0.15,1.51,1.25,1.79,1.75,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cel25-6,Flying Pikachu V,6,Holo Rare V,,,Celebrations,2026-07-28T08:03:28.843Z,USD,2026-07-28T08:03:04.286Z,EUR,576751.0,3.39,1.5,2.93,2.4,3.09,3.27,,,0.0,,,,250304.0,3.0,4.99,49.99,4.25,5.24,,,,,,,,,,,,,,,,,,,,,,,,
tk-ex-latio-6,Pikachu,6,None,,,EX trainer Kit (Latios),2026-07-28T08:03:01.622Z,USD,,,,,,,,,,,,,,,,,,,,,,88079.0,3.81,7.7,58.41,8.18,,,,,,,,,,,,,,,,,,,
2022swsh-7,Pikachu,7,None,,,McDonald's Collection 2022,,,2026-07-28T08:03:04.598Z,EUR,670472.0,1.7,0.1,1.5,1.93,1.78,1.68,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru1-7,Pikachu,7,None,,,Pokémon Rumble,,,2026-07-28T08:03:04.598Z,EUR,278848.0,1499.99,250.0,1296.19,1499.99,1345.7,590.15,,500.0,41.46,39.99,37.71,16.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cel25-7,Flying Pikachu VMAX,7,Holo Rare VMAX,,,Celebrations,2026-07-28T08:03:28.843Z,USD,2026-07-28T08:03:04.598Z,EUR,576752.0,6.62,2.0,5.49,6.39,5.76,6.18,,,0.0,,,,250305.0,5.99,9.34,1000.0,7.2,9.52,,,,,,,,,,,,,,,,,,,,,,,,
cel25-8,Surfing Pikachu V,8,Holo Rare V,,,Celebrations,2026-07-28T08:03:28.843Z,USD,2026-07-28T08:03:04.286Z,EUR,576753.0,3.68,1.47,3.32,3.54,3.46,3.38,,,0.0,,,,250306.0,3.44,5.78,125.0,4.83,5.06,,,,,,,,,,,,,,,,,,,,,,,,
