id,name,localId,rarity,supertype,subtypes,set,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
2018sm-2,Psyduck,2,None,,,McDonald's Collection 2018,2026-07-25T08:03:04.261Z,EUR,366770.0,22.49,0.9,24.74,24.99,20.36,13.99,,,1.63,0.49,1.35,1.7,2026-07-25T08:03:02.111Z,USD,180451.0,39.97,142.8,699.4,67.08,,,,,,,,,,,,,,,,,,,,,,,,,
det1-7,Psyduck,7,Common,,,Detective Pikachu,2026-07-25T08:03:04.261Z,EUR,370626.0,0.69,0.02,0.86,2.82,0.87,0.72,0.8,0.1,1.06,0.8,0.9,0.67,2026-07-25T08:03:02.119Z,USD,186010.0,0.2,1.0,7.0,0.86,0.69,,,,,,,,,,,,,,,,,,,,,,,,
mep-007,Psyduck,007,Promo,,,MEP Black Star Promos,2026-07-25T08:03:04.261Z,EUR,851053.0,7.29,0.8,10.62,6.29,8.22,6.61,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sm115-11,Psyduck,11,Common,,,Hidden Fates,2026-07-25T08:03:04.261Z,EUR,394772.0,0.11,0.02,0.15,0.17,0.13,0.11,6.05,0.39,6.96,8.48,5.92,3.74,2026-07-25T08:03:02.130Z,USD,,,,,,,197653.0,0.11,0.36,5.0,0.36,0.15,197653.0,2.7,4.0,19.98,3.84,,,,,,,,,,,,,
xy9-16,Psyduck,16,Common,,,BREAKpoint,2026-07-25T08:03:03.827Z,EUR,288191.0,0.88,0.02,1.1,0.6,0.64,0.78,21.59,0.08,17.83,2.0,17.37,9.48,2026-07-25T08:03:02.048Z,USD,,,,,,,111519.0,0.31,1.29,19.99,1.3,,111519.0,5.46,13.99,199.9,14.4,,,,,,,,,,,,,
basep-20,Psyduck,20,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swsh7-24,Psyduck,24,Common,,,Evolving Skies,2026-07-25T08:03:04.302Z,EUR,574048.0,0.08,0.02,0.1,0.13,0.08,0.08,0.41,0.05,0.42,0.31,0.28,0.39,2026-07-25T08:03:02.179Z,USD,,,,,,,246816.0,0.03,0.28,19.9,0.28,0.03,246816.0,0.15,0.53,4321.0,0.54,,,,,,,,,,,,,
sm9-26,Psyduck,26,Common,,,Team Up,2026-07-25T08:03:04.261Z,EUR,368958.0,0.26,0.02,0.46,0.15,0.27,0.29,6.59,1.2,10.12,17.0,7.2,5.74,2026-07-25T08:03:02.117Z,USD,,,,,,,183797.0,0.41,0.99,19.98,0.96,,183797.0,12.5,18.0,39.96,18.0,19.97,,,,,,,,,,,,
sm1-28,Psyduck,28,Common,,,Sun & Moon,2026-07-25T08:03:04.302Z,EUR,295338.0,0.82,0.02,0.65,0.73,0.77,0.83,5.82,0.03,6.35,8.5,6.23,3.92,2026-07-25T08:03:02.071Z,USD,,,,,,,126899.0,0.05,0.99,20.0,0.93,,126899.0,3.45,7.5,499.98,7.38,6.38,,,,,,,,,,,,
swsh10-028,Psyduck,028,Common,,,Astral Radiance,2026-07-25T08:03:03.827Z,EUR,658533.0,0.07,0.02,0.06,0.12,0.08,0.08,0.31,0.02,0.39,0.5,0.3,0.31,2026-07-25T08:03:02.194Z,USD,,,,,,,272228.0,0.01,0.25,19.98,0.22,0.01,272228.0,0.15,0.5,19.98,0.5,,,,,,,,,,,,,
