id,name,localId,rarity,supertype,subtypes,set,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
2018sm-2,Psyduck,2,None,,,McDonald's Collection 2018,2026-08-02T08:03:04.559Z,EUR,366770.0,22.49,0.9,19.43,4.0,22.62,15.68,,,1.63,0.49,1.35,1.7,2026-08-02T08:03:02.547Z,USD,180451.0,47.33,90.06,699.4,73.68,,,,,,,,,,,,,,,,,,,,,,,,,
det1-7,Psyduck,7,Common,,,Detective Pikachu,2026-08-02T08:03:04.559Z,EUR,370626.0,0.69,0.02,0.77,0.48,0.71,0.74,0.8,0.1,1.01,0.27,0.82,0.67,2026-08-02T08:03:02.577Z,USD,186010.0,0.2,1.01,9.99,1.08,,,,,,,,,,,,,,,,,,,,,,,,,
mep-007,Psyduck,007,Promo,,,MEP Black Star Promos,2026-08-02T08:03:04.559Z,EUR,851053.0,7.29,0.6,7.85,3.23,7.86,7.88,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sm115-11,Psyduck,11,Common,,,Hidden Fates,2026-08-02T08:03:04.559Z,EUR,394772.0,0.11,0.02,0.08,0.05,0.1,0.12,6.05,1.0,6.64,7.99,6.98,4.22,2026-08-02T08:03:02.594Z,USD,,,,,,,197653.0,0.11,0.39,5.0,0.39,,197653.0,2.74,4.0,19.98,3.84,,,,,,,,,,,,,
xy9-16,Psyduck,16,Common,,,BREAKpoint,2026-08-02T08:03:04.559Z,EUR,288191.0,0.88,0.02,0.96,0.77,0.89,0.82,21.59,0.08,15.7,0.5,12.23,8.75,2026-08-02T08:03:02.465Z,USD,,,,,,,111519.0,0.31,1.22,19.99,1.25,,111519.0,4.0,13.44,199.9,14.45,,,,,,,,,,,,,
basep-20,Psyduck,20,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swsh7-24,Psyduck,24,Common,,,Evolving Skies,2026-08-02T08:03:04.559Z,EUR,574048.0,0.09,0.02,0.08,0.08,0.1,0.09,0.45,0.04,0.41,0.89,0.58,0.46,2026-08-02T08:03:02.656Z,USD,,,,,,,246816.0,0.04,0.3,19.86,0.27,0.04,246816.0,0.15,0.55,19.98,0.61,,,,,,,,,,,,,
sm9-26,Psyduck,26,Common,,,Team Up,2026-08-02T08:03:04.559Z,EUR,368958.0,0.26,0.02,0.37,0.52,0.38,0.33,6.59,1.2,10.48,18.34,7.95,5.69,2026-08-02T08:03:02.571Z,USD,,,,,,,183797.0,0.45,0.99,19.98,0.92,,183797.0,11.5,18.0,39.96,18.05,18.04,,,,,,,,,,,,
sm1-28,Psyduck,28,Common,,,Sun & Moon,2026-08-02T08:03:04.559Z,EUR,295338.0,0.82,0.02,0.75,0.28,1.12,0.88,5.82,0.03,7.32,12.99,6.13,4.18,2026-08-02T08:03:02.492Z,USD,,,,,,,126899.0,0.35,0.95,20.0,0.96,,126899.0,3.24,7.66,499.9,7.44,6.98,,,,,,,,,,,,
swsh10-028,Psyduck,028,Common,,,Astral Radiance,2026-08-02T08:03:04.559Z,EUR,658533.0,0.07,0.02,0.08,0.04,0.07,0.08,0.31,0.02,0.32,0.16,0.3,0.34,2026-08-02T08:03:02.672Z,USD,,,,,,,272228.0,0.01,0.25,19.98,0.26,,272228.0,0.15,0.49,19.98,0.47,,,,,,,,,,,,,
