id,name,localId,rarity,supertype,subtypes,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
basep-1,Pikachu,1,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fut2020-1,Pikachu on the Ball,1,None,,,Pokémon Futsal 2020,,,2026-07-22T08:03:06.471Z,EUR,506930.0,125.0,115.0,187.59,125.0,154.24,173.92,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024sv-2,Pikachu,2,None,,,McDonald's Collection 2024,,,2026-07-22T08:03:06.471Z,EUR,802824.0,1.91,0.05,1.73,1.64,1.71,1.87,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basep-4,Pikachu,4,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018sm-4,Pikachu,4,None,,,McDonald's Collection 2018,2026-07-22T08:03:03.902Z,USD,2026-07-22T08:03:06.471Z,EUR,366772.0,12.62,1.0,13.8,20.0,15.06,10.6,,,5.68,3.99,6.1,3.7,180452.0,26.0,33.4,309.8,40.43,,,,,,,,,,,,,,,,,,,,,,,,,
2017sm-5,Pikachu,5,None,,,McDonald's Collection 2017,2026-07-22T08:03:03.871Z,USD,2026-07-22T08:03:06.471Z,EUR,301847.0,11.69,1.0,14.3,4.0,12.22,10.63,,,10.21,15.45,9.59,6.48,152685.0,14.22,30.0,300.8,28.09,,,,,,,,,,,,,,,,,,,,,,,,,
2014xy-5,Pikachu,5,None,,,McDonald's Collection 2014,2026-07-22T08:03:03.738Z,USD,2026-07-22T08:03:06.471Z,EUR,281657.0,6.25,3.5,1.76,2.5,6.08,8.38,,,12.9,14.0,9.21,7.04,110410.0,98.88,249.99,700.99,35.63,,,,,,,,,,,,,,,,,,,,,,,,,
cel25-5,Pikachu,5,Holo Rare,,,Celebrations,2026-07-22T08:03:03.984Z,USD,2026-07-22T08:03:06.471Z,EUR,576750.0,5.29,2.5,4.82,4.66,4.93,5.22,,,0.0,,,,250303.0,3.0,7.03,4321.0,5.67,5.99,,,,,,,,,,,,,,,,,,,,,,,,
ex5.5-5,Pikachu,5,None,,,Poké Card Creator Pack,,,2026-07-22T08:03:06.471Z,EUR,605996.0,400.0,40000.0,400.0,400.0,400.0,400.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016xy-6,Pikachu,6,None,,,McDonald's Collection 2016,2026-07-22T08:03:03.832Z,USD,2026-07-22T08:03:06.471Z,EUR,295142.0,24.8,1.4,20.62,12.38,24.43,15.4,,,6.09,3.5,6.0,4.69,275062.0,74.99,95.0,131.97,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019sm-6,Pikachu,6,None,,,McDonald's Collection 2019,2026-07-22T08:03:03.929Z,USD,2026-07-22T08:03:06.471Z,EUR,412874.0,8.67,0.5,7.47,4.5,6.34,9.65,,,8.67,5.0,11.67,9.23,200967.0,24.0,60.0,497.93,34.47,449.99,,,,,,,,,,,,,,,,,,,,,,,,
2015xy-6,Pikachu,6,None,,,McDonald's Collection 2015,2026-07-22T08:03:03.800Z,USD,2026-07-22T08:03:06.471Z,EUR,293322.0,27.09,1.75,21.29,30.0,21.07,14.68,,,10.31,20.0,9.54,9.62,110424.0,21.5,36.3,9999.0,34.72,,,,,,,,,,,,,,,,,,,,,,,,,
2023sv-6,Pikachu,6,None,,,McDonald's Collection 2023,,,2026-07-22T08:03:06.558Z,EUR,725423.0,1.78,0.15,1.51,1.33,1.73,1.79,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cel25-6,Flying Pikachu V,6,Holo Rare V,,,Celebrations,2026-07-22T08:03:03.984Z,USD,2026-07-22T08:03:06.558Z,EUR,576751.0,3.39,1.5,2.95,3.15,2.97,3.38,,,0.0,,,,250304.0,2.65,4.99,4321.0,4.13,4.98,,,,,,,,,,,,,,,,,,,,,,,,
tk-ex-latio-6,Pikachu,6,None,,,EX trainer Kit (Latios),2026-07-22T08:03:03.229Z,USD,,,,,,,,,,,,,,,,,,,,,,88079.0,3.81,7.7,4321.0,8.18,,,,,,,,,,,,,,,,,,,
