id,name,localId,rarity,supertype,subtypes,set,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
2018sm-2,Psyduck,2,None,,,McDonald's Collection 2018,2026-07-21T08:03:04.252Z,EUR,366770.0,15.32,0.9,24.32,24.99,20.36,13.99,,,1.63,0.49,1.35,1.7,2026-07-21T08:03:02.077Z,USD,180451.0,39.97,89.99,699.4,65.78,,,,,,,,,,,,,,,,,,,,,,,,,
det1-7,Psyduck,7,Common,,,Detective Pikachu,2026-07-21T08:03:04.252Z,EUR,370626.0,0.57,0.02,0.88,2.82,0.87,0.72,0.9,0.05,1.06,0.8,0.9,0.67,2026-07-21T08:03:02.097Z,USD,186010.0,0.2,1.02,7.0,1.02,1.1,,,,,,,,,,,,,,,,,,,,,,,,
mep-007,Psyduck,007,Promo,,,MEP Black Star Promos,2026-07-21T08:03:04.252Z,EUR,851053.0,7.24,0.8,11.48,6.29,8.22,6.61,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sm115-11,Psyduck,11,Common,,,Hidden Fates,2026-07-21T08:03:04.252Z,EUR,394772.0,0.1,0.02,0.17,0.17,0.13,0.11,3.61,1.0,5.86,8.48,5.92,3.74,2026-07-21T08:03:02.113Z,USD,,,,,,,197653.0,0.11,0.34,5.0,0.32,,197653.0,2.7,3.99,19.98,3.91,,,,,,,,,,,,,
xy9-16,Psyduck,16,Common,,,BREAKpoint,2026-07-21T08:03:04.252Z,EUR,288191.0,0.88,0.02,0.67,0.6,0.64,0.78,21.59,0.08,19.86,2.0,17.37,9.48,2026-07-21T08:03:01.952Z,USD,,,,,,,111519.0,0.31,1.25,19.99,1.4,,111519.0,4.0,14.03,199.9,14.4,,,,,,,,,,,,,
basep-20,Psyduck,20,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swsh7-24,Psyduck,24,Common,,,Evolving Skies,2026-07-21T08:03:04.252Z,EUR,574048.0,0.08,0.02,0.1,0.13,0.08,0.08,0.41,0.05,0.41,0.31,0.28,0.39,2026-07-21T08:03:02.168Z,USD,,,,,,,246816.0,0.04,0.3,19.92,0.3,0.05,246816.0,0.15,0.51,4321.0,0.53,,,,,,,,,,,,,
sm9-26,Psyduck,26,Common,,,Team Up,2026-07-21T08:03:04.252Z,EUR,368958.0,0.3,0.02,0.47,0.15,0.27,0.29,2.93,0.1,7.56,17.0,7.2,5.74,2026-07-21T08:03:02.094Z,USD,,,,,,,183797.0,0.35,1.0,19.98,1.01,,183797.0,12.5,18.0,39.96,18.0,19.97,,,,,,,,,,,,
sm1-28,Psyduck,28,Common,,,Sun & Moon,2026-07-21T08:03:04.252Z,EUR,295338.0,0.72,0.02,0.81,0.73,0.77,0.83,4.54,0.03,6.55,8.5,6.23,3.92,2026-07-21T08:03:01.981Z,USD,,,,,,,126899.0,0.25,0.99,20.0,0.96,,126899.0,3.45,7.64,500.0,7.42,,,,,,,,,,,,,
swsh10-028,Psyduck,028,Common,,,Astral Radiance,2026-07-21T08:03:04.457Z,EUR,658533.0,0.07,0.02,0.07,0.12,0.08,0.08,0.31,0.02,0.38,0.5,0.3,0.31,2026-07-21T08:03:02.180Z,USD,,,,,,,272228.0,0.01,0.25,19.98,0.23,,272228.0,0.15,0.49,19.98,0.5,,,,,,,,,,,,,
