id,name,localId,rarity,supertype,subtypes,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
A2b-030,Kadabra,030,Two Diamond,,,Shining Revelry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base1-32,Kadabra,32,Uncommon,,,Base Set,2026-07-20T08:03:01.349Z,USD,2026-07-20T08:03:04.265Z,EUR,273727.0,2.93,0.02,0.72,1.2,1.65,2.44,,,3.32,8.0,2.04,2.04,42374.0,0.45,1.09,9999.0,1.84,1.18,,,,,,,,,,,,,,,,,,,,,,,,
base5-39,Dark Kadabra,39,Uncommon,,,Team Rocket,2026-07-20T08:03:01.379Z,USD,2026-07-20T08:03:04.386Z,EUR,274092.0,2.24,0.05,2.72,0.59,2.41,2.61,,,0.15,0.15,0.77,0.77,,,,,,,84618.0,3.25,6.3,77.0,6.44,,84618.0,0.68,1.5,100.0,2.34,2.87,,,,,,,,,,,,
base4-46,Kadabra,46,Uncommon,,,Base Set 2,2026-07-20T08:03:01.373Z,USD,2026-07-20T08:03:04.265Z,EUR,273969.0,1.03,0.02,0.75,0.95,0.77,1.08,,,0.0,,,,42509.0,0.45,1.13,4321.0,1.84,5.49,,,,,,,,,,,,,,,,,,,,,,,,
lc-49,Kadabra,49,Uncommon,,,Legendary Collection,2026-07-20T08:03:01.453Z,USD,2026-07-20T08:03:04.265Z,EUR,274814.0,3.22,0.2,3.01,1.3,2.73,1.99,130.0,40.0,154.14,150.0,89.88,86.54,86404.0,1.42,3.11,49.81,4.59,48.83,,,,,,,,,,,,,86404.0,2021.78,2021.78,4699.0,173.39,,,,,,,
me01-055,Kadabra,055,Uncommon,,,Mega Evolution,2026-07-20T08:03:02.201Z,USD,2026-07-20T08:03:04.265Z,EUR,851126.0,0.08,0.02,0.09,0.09,0.09,0.07,0.21,0.02,0.17,0.17,0.18,0.21,654394.0,0.01,0.23,1000.0,0.23,0.17,,,,,,,,,,,,,654394.0,0.05,0.34,96.95,0.32,0.38,,,,,,
gym2-58,Sabrina's Kadabra,58,Uncommon,,,Gym Challenge,2026-07-20T08:03:01.415Z,USD,2026-07-20T08:03:04.265Z,EUR,274326.0,11.06,0.49,3.38,2.0,6.24,8.88,,,24.0,24.0,13.25,13.25,,,,,,,88882.0,13.0,18.74,613.0,16.11,,88882.0,2.0,4.99,39.48,6.16,,,,,,,,,,,,,
sv03.5-064,Kadabra,064,Uncommon,,,151,2026-07-20T08:03:02.144Z,USD,2026-07-20T08:03:04.265Z,EUR,733659.0,0.07,0.02,0.07,0.02,0.07,0.07,0.22,0.02,0.21,0.2,0.19,0.21,516269.0,0.01,0.2,1000.0,0.17,0.04,,,,,,,,,,,,,516269.0,0.07,0.3,19.98,0.3,0.28,,,,,,
ecard3-69,Kadabra,69,Common,,,Skyridge,2026-07-20T08:03:01.472Z,USD,2026-07-20T08:03:04.386Z,EUR,275327.0,15.38,1.0,13.29,3.5,21.49,9.11,26.24,5.0,72.78,34.98,22.94,41.6,86405.0,22.38,35.84,287.7,27.54,,,,,,,,,,,,,,,,,,,,,,,,,
sv06-081,Kadabra,081,Common,,,Twilight Masquerade,2026-07-20T08:03:02.162Z,USD,2026-07-20T08:03:04.811Z,EUR,769255.0,0.05,0.02,0.05,0.02,0.05,0.05,0.14,0.02,0.11,0.04,0.12,0.15,550125.0,0.01,0.2,1000.0,0.19,0.1,,,,,,,,,,,,,550125.0,0.01,0.28,5.0,0.28,0.1,,,,,,
ecard1-84,Kadabra,84,Uncommon,,,Expedition Base Set,2026-07-20T08:03:01.458Z,USD,2026-07-20T08:03:04.386Z,EUR,274959.0,4.04,0.49,5.0,4.0,6.6,4.59,31.6,5.95,24.49,38.0,29.45,21.76,86406.0,5.49,8.67,89.99,8.87,85.62,,,,,,,,,,,,,86406.0,39.99,39.99,39.99,80.0,,,,,,,
A1-116,Kadabra,116,Two Diamond,,,Genetic Apex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv04.5-149,Kadabra,149,Shiny rare,,,Paldean Fates,2026-07-20T08:03:02.154Z,USD,2026-07-20T08:03:04.265Z,EUR,751688.0,5.77,3.49,6.36,9.5,6.41,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,534634.0,5.5,7.99,97.16,7.58,10.13
