id,name,localId,rarity,supertype,subtypes,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
A2b-030,Kadabra,030,Two Diamond,,,Shining Revelry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base1-32,Kadabra,32,Uncommon,,,Base Set,2026-08-03T08:03:11.322Z,USD,2026-08-03T08:03:05.639Z,EUR,273727.0,2.48,0.02,1.72,2.64,1.44,1.92,,,3.32,8.0,2.04,2.04,42374.0,0.4,1.12,9999.0,2.18,,,,,,,,,,,,,,,,,,,,,,,,,
base5-39,Dark Kadabra,39,Uncommon,,,Team Rocket,2026-08-03T08:03:11.351Z,USD,2026-08-03T08:03:05.639Z,EUR,274092.0,2.43,0.05,2.55,1.87,1.83,2.14,,,0.15,0.15,0.77,0.77,,,,,,,84618.0,3.25,6.27,77.0,6.6,4.0,84618.0,0.64,1.63,100.0,3.36,23.87,,,,,,,,,,,,
base4-46,Kadabra,46,Uncommon,,,Base Set 2,2026-08-03T08:03:11.348Z,USD,2026-08-03T08:03:05.639Z,EUR,273969.0,1.03,0.1,0.9,0.69,0.98,1.02,,,0.0,,,,42509.0,0.3,1.03,100.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
lc-49,Kadabra,49,Uncommon,,,Legendary Collection,2026-08-03T08:03:11.772Z,USD,2026-08-03T08:03:05.639Z,EUR,274814.0,2.65,0.2,3.05,1.3,2.73,1.99,150.0,40.0,154.14,150.0,89.88,86.54,86404.0,1.42,3.23,56.13,4.86,48.81,,,,,,,,,,,,,86404.0,2021.78,2021.78,4699.0,169.24,,,,,,,
me01-055,Kadabra,055,Uncommon,,,Mega Evolution,2026-08-03T08:04:14.237Z,USD,2026-08-03T08:03:05.852Z,EUR,851126.0,0.08,0.02,0.07,0.07,0.06,0.07,0.21,0.02,0.21,0.12,0.22,0.19,654394.0,0.01,0.22,1000.0,0.2,,,,,,,,,,,,,,654394.0,0.05,0.37,999.0,0.43,0.36,,,,,,
gym2-58,Sabrina's Kadabra,58,Uncommon,,,Gym Challenge,2026-08-03T08:03:11.363Z,USD,2026-08-03T08:03:05.676Z,EUR,274326.0,4.76,0.4,25.58,1.35,37.36,13.64,,,24.0,24.0,13.25,13.25,,,,,,,88882.0,13.94,18.52,613.0,16.0,,88882.0,2.49,4.76,39.48,4.76,,,,,,,,,,,,,
sv03.5-064,Kadabra,064,Uncommon,,,151,2026-08-03T08:03:57.907Z,USD,2026-08-03T08:03:05.639Z,EUR,733659.0,0.07,0.02,0.07,0.1,0.06,0.07,0.21,0.02,0.21,0.17,0.19,0.21,516269.0,0.01,0.2,1000.0,0.18,0.1,,,,,,,,,,,,,516269.0,0.07,0.3,19.98,0.3,0.28,,,,,,
ecard3-69,Kadabra,69,Common,,,Skyridge,2026-08-03T08:03:11.796Z,USD,2026-08-03T08:03:05.852Z,EUR,275327.0,18.99,1.0,11.62,5.97,6.99,9.68,33.98,7.39,65.95,26.99,24.6,42.6,86405.0,29.99,40.57,287.7,27.74,,,,,,,,,,,,,,86405.0,42675.59,42675.59,42675.59,66.98,,,,,,,
sv06-081,Kadabra,081,Common,,,Twilight Masquerade,2026-08-03T08:03:58.615Z,USD,2026-08-03T08:03:05.852Z,EUR,769255.0,0.05,0.02,0.04,0.05,0.06,0.05,0.13,0.02,0.11,0.25,0.11,0.12,550125.0,0.01,0.21,1000.0,0.2,0.08,,,,,,,,,,,,,550125.0,0.01,0.27,999.0,0.26,0.1,,,,,,
ecard1-84,Kadabra,84,Uncommon,,,Expedition Base Set,2026-08-03T08:03:11.776Z,USD,2026-08-03T08:03:05.852Z,EUR,274959.0,5.43,0.49,5.23,7.0,5.59,4.88,27.67,5.95,25.08,27.0,29.07,21.97,86406.0,5.5,9.0,94.12,9.54,11.88,,,,,,,,,,,,,86406.0,29.99,30.0,49.99,80.0,,,,,,,
A1-116,Kadabra,116,Two Diamond,,,Genetic Apex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv04.5-149,Kadabra,149,Shiny rare,,,Paldean Fates,2026-08-03T08:03:58.337Z,USD,2026-08-03T08:03:05.852Z,EUR,751688.0,6.09,3.49,6.04,5.43,5.65,5.97,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,534634.0,5.5,8.25,99.0,7.93,7.56
