id,name,localId,rarity,supertype,subtypes,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
base1-32,Kadabra,32,Uncommon,,,Base Set,2026-07-12T18:05:06.137Z,USD,2026-07-12T18:05:09.193Z,EUR,273727.0,2.93,0.02,1.95,2.71,2.3,3.02,,,3.32,8.0,2.04,2.04,42374.0,0.3,1.03,9999.0,1.69,1.12,,,,,,,,,,,,,,,,,,,,,,,,
base5-39,Dark Kadabra,39,Uncommon,,,Team Rocket,2026-07-12T18:05:06.157Z,USD,2026-07-12T18:05:09.193Z,EUR,274092.0,2.24,0.05,3.05,2.69,2.08,2.23,,,0.15,0.15,0.77,0.77,,,,,,,84618.0,3.2,6.28,77.0,6.4,,84618.0,0.66,1.5,100.0,2.24,1.25,,,,,,,,,,,,
base4-46,Kadabra,46,Uncommon,,,Base Set 2,2026-07-12T18:05:06.150Z,USD,2026-07-12T18:05:09.193Z,EUR,273969.0,1.26,0.02,1.01,1.37,0.73,1.12,,,0.0,,,,42509.0,0.45,1.14,4321.0,1.7,4.49,,,,,,,,,,,,,,,,,,,,,,,,
lc-49,Kadabra,49,Uncommon,,,Legendary Collection,2026-07-12T18:05:06.207Z,USD,2026-07-12T18:05:09.193Z,EUR,274814.0,2.61,0.3,3.38,4.99,3.53,1.95,120.0,40.0,154.14,150.0,89.88,86.54,86404.0,1.4,2.99,49.81,4.55,48.83,,,,,,,,,,,,,86404.0,2021.78,2021.78,4699.0,173.39,,,,,,,
me01-055,Kadabra,055,Uncommon,,,Mega Evolution,2026-07-12T18:05:07.263Z,USD,2026-07-12T18:05:08.999Z,EUR,851126.0,0.09,0.02,0.07,0.09,0.08,0.08,0.19,0.02,0.19,0.15,0.14,0.2,654394.0,0.01,0.22,1000.0,0.23,0.1,,,,,,,,,,,,,654394.0,0.05,0.37,96.95,0.38,0.99,,,,,,
gym2-58,Sabrina's Kadabra,58,Uncommon,,,Gym Challenge,2026-07-12T18:05:06.167Z,USD,2026-07-12T18:05:08.999Z,EUR,274326.0,11.06,0.49,6.59,0.98,3.21,8.36,,,24.0,24.0,13.25,13.25,,,,,,,88882.0,9.99,20.0,613.0,16.39,,88882.0,2.0,5.0,39.48,6.0,4.99,,,,,,,,,,,,
sv03.5-064,Kadabra,064,Uncommon,,,151,2026-07-12T18:05:07.183Z,USD,2026-07-12T18:05:08.999Z,EUR,733659.0,0.07,0.02,0.09,0.1,0.1,0.07,0.22,0.02,0.23,0.29,0.26,0.22,516269.0,0.01,0.2,1000.0,0.18,0.1,,,,,,,,,,,,,516269.0,0.07,0.29,99.0,0.29,0.28,,,,,,
ecard3-69,Kadabra,69,Common,,,Skyridge,2026-07-12T18:05:06.242Z,USD,2026-07-12T18:05:08.999Z,EUR,275327.0,15.38,1.0,14.96,4.97,19.74,8.88,26.24,5.0,72.78,17.5,34.19,40.95,86405.0,22.3,35.04,287.7,26.33,,,,,,,,,,,,,,,,,,,,,,,,,
sv06-081,Kadabra,081,Common,,,Twilight Masquerade,2026-07-12T18:05:07.198Z,USD,2026-07-12T18:05:08.999Z,EUR,769255.0,0.05,0.02,0.05,0.11,0.05,0.06,0.14,0.02,0.17,0.22,0.16,0.14,550125.0,0.01,0.23,1000.0,0.24,0.1,,,,,,,,,,,,,550125.0,0.01,0.26,5.0,0.28,0.1,,,,,,
ecard1-84,Kadabra,84,Uncommon,,,Expedition Base Set,2026-07-12T18:05:06.215Z,USD,2026-07-12T18:05:09.193Z,EUR,274959.0,4.04,0.49,5.32,2.0,3.05,4.08,31.6,5.95,22.64,17.5,25.62,20.64,86406.0,5.5,8.24,89.99,8.74,85.62,,,,,,,,,,,,,86406.0,39.99,39.99,39.99,80.0,,,,,,,
sv04.5-149,Kadabra,149,Shiny rare,,,Paldean Fates,2026-07-12T18:05:07.191Z,USD,2026-07-12T18:05:08.999Z,EUR,751688.0,5.77,3.49,5.98,7.0,5.95,5.81,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,534634.0,5.33,7.99,97.4,7.61,10.16
