id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_productId,tp_reverse_lowPrice,tp_reverse_midPrice,tp_reverse_highPrice,tp_reverse_marketPrice,tp_reverse_directLowPrice
swsh3-70,Snubbull,70,Common,,2026-07-06T18:05:01.145Z,EUR,483229,0.04,0.02,0.05,0.09,0.05,0.04,0.25,0.05,0.2,0.2,0.19,0.21,2026-07-06T18:05:00.769Z,USD,219445.0,0.01,0.15,25.07,0.06,0.05,219445.0,0.09,0.27,40.0,0.27,0.17
swsh3-71,Granbull,71,Rare,,2026-07-06T18:05:01.132Z,EUR,483234,0.14,0.02,0.15,0.15,0.14,0.14,0.89,0.14,0.95,1.22,0.93,0.59,2026-07-06T18:05:00.769Z,USD,219446.0,0.01,0.23,49.0,0.21,0.1,219446.0,0.1,0.44,19.48,0.47,0.21
swsh3-72,Lunatone,72,Uncommon,,2026-07-06T18:05:01.132Z,EUR,483239,0.07,0.02,0.07,0.02,0.1,0.04,0.25,0.02,0.21,0.13,0.26,0.25,2026-07-06T18:05:00.769Z,USD,219447.0,0.01,0.15,25.06,0.05,0.02,219447.0,0.03,0.25,19.98,0.11,
swsh3-73,Gothita,73,Common,,2026-07-06T18:05:01.132Z,EUR,483244,0.06,0.02,0.06,0.03,0.04,0.06,0.25,0.05,0.33,0.99,0.27,0.24,2026-07-06T18:05:00.769Z,USD,219449.0,0.01,0.18,25.05,0.04,0.04,219449.0,0.1,0.29,19.98,0.29,0.3
swsh3-74,Gothorita,74,Uncommon,,2026-07-06T18:05:01.132Z,EUR,483249,0.08,0.02,0.07,0.2,0.08,0.08,0.26,0.02,0.29,0.6,0.28,0.28,2026-07-06T18:05:00.769Z,USD,219451.0,0.02,0.2,25.06,0.08,0.09,219451.0,0.05,0.32,19.48,0.31,0.23
swsh3-75,Gothitelle,75,Rare,,2026-07-06T18:05:01.132Z,EUR,483254,0.19,0.02,0.23,0.35,0.2,0.22,0.8,0.1,0.8,0.5,0.9,0.67,2026-07-06T18:05:00.769Z,USD,219454.0,0.01,0.25,19.98,0.06,,219454.0,0.21,0.45,19.98,0.46,
swsh3-76,Golett,76,Common,,2026-07-06T18:05:01.132Z,EUR,483259,0.03,0.02,0.04,0.02,0.03,0.03,0.28,0.02,0.22,0.25,0.21,0.27,2026-07-06T18:05:00.769Z,USD,219456.0,0.01,0.15,25.05,0.09,0.05,219456.0,0.06,0.28,19.98,0.29,0.1
swsh3-77,Golurk,77,Rare,,2026-07-06T18:05:01.132Z,EUR,483264,0.13,0.02,0.16,0.08,0.13,0.18,0.56,0.18,0.54,0.5,0.61,0.56,2026-07-06T18:05:00.769Z,USD,219459.0,0.05,0.2,2.99,0.09,0.1,219459.0,0.15,0.44,19.52,0.44,0.4
swsh3-78,Dedenne,78,Uncommon,,2026-07-06T18:05:01.145Z,EUR,483269,0.18,0.02,0.14,0.07,0.15,0.18,0.39,0.02,0.44,0.6,0.42,0.36,2026-07-06T18:05:00.769Z,USD,219462.0,0.01,0.3,19.98,0.26,,219462.0,0.1,0.58,19.98,0.6,
swsh3-79,Morelull,79,Common,,2026-07-06T18:05:01.145Z,EUR,483274,0.06,0.02,0.05,0.04,0.03,0.04,0.29,0.03,0.29,0.13,0.25,0.24,2026-07-06T18:05:00.769Z,USD,219464.0,0.01,0.15,25.07,0.05,,219464.0,0.04,0.25,5.1,0.17,0.14
